owner_code	date	held_shares	change
natixis-advisors-lp-62429	2017-12-31	909134	-65292
c-worldwide-group-holding-as-949535	2017-12-31	901211	19615
martin-currie-ltd-67369	2017-12-31	885123	23200
arrowstreet-capital-limited-partnership-96675	2017-12-31	874253	412100
caisse-de-depot-et-placement-du-quebec-68712	2017-12-31	869019	-249200
van-eck-associates-corp-27403	2017-12-31	868090	70860
state-of-new-jersey-common-pension-fund-d-820824	2017-12-31	863672	45174
jericho-capital-asset-management-lp-860445	2017-12-31	807110	362597
joho-capital-llc-72899	2017-12-31	793637	-180000
fullerton-fund-management-co-ltd-921010	2017-12-31	787989	-98173
marshall-wace-north-america-lp-673771	2017-12-31	771097	463042
gam-holding-ag-789519	2017-12-31	743953	-147486
new-silk-road-investment-pte-ltd-908254	2018-03-31	743382	-6500
kbc-group-nv-757935	2017-12-31	741648	-127039
valinor-management-lp-770306	2017-12-31	735900	6800
axa-45522	2017-12-31	730341	-72145
thornburg-investment-management-inc-89338	2017-12-31	716013	-467802
tt-international-821656	2017-12-31	714825	4653
sumway-development-ltd-984604	2017-09-30	711450	0
nf-trinity-capital-hong-kong-ltd-961707	2017-12-31	710157	5775
manning--napier-advisors-llc-26891	2017-09-30	703029	-154190
aberdeen-asset-management-plcuk-63375	2017-06-30	701575	-19400
charles-lim-capital-ltd-958798	2017-12-31	698685	581993
federated-investors-inc-pa-9206	2017-12-31	679273	-46817
driehaus-capital-management-llc-44222	2017-12-31	670478	-217210
new-york-state-common-retirement-fund-57993	2017-12-31	663772	-87929
indus-capital-partners-llc-699164	2017-12-31	661788	-90502
her-majesty-the-queen-in-right-of-the-province-of-alberta-as-804398	2017-12-31	655928	2500
capital-international-inc-ca-53388	2017-12-31	645580	3000
great-west-life-assurance-co-can-179401	2017-12-31	644227	51281
iconiq-capital-llc-899921	2017-12-31	620570	-15767
citadel-advisors-llc-772640	2017-12-31	613459	-174852
susquehanna-international-group-llp-792195	2017-12-31	600198	-912484
scopus-asset-management-lp-699287	2017-12-31	600000	-275000
panagora-asset-management-inc-62359	2017-12-31	584286	-14204
schwab-charles-investment-management-inc-63069	2017-12-31	577634	282065
polar-capital-llp-785589	2017-12-31	557138	-19420
citigroup-inc-12025	2017-12-31	554658	182685
amp-capital-investors-ltd-900014	2017-12-31	550292	47996
manning--napier-group-llc-1044476	2017-12-31	534340	534340
trinity-street-asset-management-llp-925684	2017-12-31	533921	-36310
candriam-luxembourg-sca-961355	2017-12-31	531048	73599
tesco-pension-investment-ltd-893625	2017-12-31	516500	-29100
point72-asset-management-lp-931797	2017-12-31	507175	-535353
newbrook-capital-advisors-lp-734950	2017-12-31	506962	31475
fiera-capital-corp-841421	2017-12-31	505143	331184
brown-brothers-harriman--co-37356	2017-12-31	501564	1279
gilder-gagnon-howe--co-llc-54103	2017-12-31	492886	38268
highbridge-capital-management-llc-63746	2017-12-31	492880	255209
oaktree-capital-management-lp-63164	2017-12-31	491227	-191118
parametric-portfolio-associates-llc-89337	2017-12-31	489166	88584
two-sigma-investments-lp-396921	2017-12-31	473250	303645
origin-asset-management-llp-821469	2017-12-31	472663	-6400
intermede-investment-partners-ltd-986099	2017-12-31	470819	20860
jpchinacapital-management-coltd-956744	2017-09-30	466006	0
zurcher-kantonalbank-zurich-cantonalbank-715054	2017-12-31	443024	-23316
tb-alternative-assets-ltd-820962	2017-12-31	443000	45900
kayne-anderson-rudnick-investment-management-llc-63039	2017-12-31	442556	-3775
rovida-advisors-inc-979632	2017-12-31	441476	0
nikko-asset-management-americas-inc-820913	2017-12-31	421100	168700
hhr-asset-management-llc-742252	2017-12-31	416979	-37810
british-airways-pensions-investment-management-ltd-959866	2017-12-31	414382	-28681
investec-asset-management-north-america-inc-957664	2017-12-31	382202	-6969
coronation-fund-managers-ltd-1001161	2017-12-31	381258	-46431
select-equity-group-lp-921984	2017-12-31	379570	40471
maverick-capital-ltd-75571	2017-12-31	378572	-24628
tremblant-capital-group-699415	2017-12-31	378417	13326
ig-investment-management-ltd-60964	2017-09-30	378337	-51095
boston-partners-741535	2017-12-31	377472	-131331
shell-asset-management-co-394644	2017-12-31	374126	11223
employees-retirement-system-of-texas-743472	2017-12-31	368900	-17300
british-columbia-investment-management-corp-403975	2017-12-31	364900	105800
bp-plc-38897	2017-12-31	362685	-88800
partner-fund-management-lp-785593	2017-12-31	360420	-3921
ems-capital-lp-784887	2017-12-31	360000	0
marshall-wace-asia-ltd-855351	2017-12-31	348204	-240026
edmond-de-rothschild-holding-sa-972580	2017-12-31	347569	50612
scge-management-lp-874421	2017-12-31	345000	128000
emerging-sovereign-group-llc-821247	2017-12-31	339240	184755
calixto-global-investors-lp-986643	2017-12-31	335411	-60950
sumitomo-mitsui-asset-management-company-ltd-756195	2017-12-31	327696	-18220
jackson-square-partners-llc-942206	2017-12-31	321373	-103784
1832-asset-management-lp-49833	2017-12-31	321258	-158342
wim-asset-management-hk-ltd-1042054	2017-12-31	321100	321100
davenport--co-llc-84508	2018-03-31	316068	210595
zevenbergen-capital-investments-llc-618138	2017-12-31	315572	34875
stifel-financial-corp-4200	2017-12-31	314870	27216
millennium-management-llc-610045	2017-12-31	311854	311854
hunt-lane-capital-lp-987062	2017-12-31	307800	-92200
atalanta-sosnoff-capital-llc-63731	2018-03-31	302037	-163554
keywise-capital-management-ltd-812971	2017-12-31	301413	-94730
eaton-vance-management-58625	2017-12-31	297296	80099
think-investments-lp-963788	2017-12-31	296400	92500
nomura-holdings-inc-96325	2017-12-31	295113	120974
raymond-james-financial-services-advisors-inc-803618	2017-12-31	293951	69988
guggenheim-capital-llc-632174	2017-12-31	292940	2712
jane-street-group-llc-934867	2017-12-31	286799	-198592
wasatch-advisors-inc-87012	2017-12-31	284492	-13101
agf-investments-inc-97719	2017-12-31	284262	191073
ashmore-group-plc-848003	2017-12-31	282738	5421
clarivest-asset-management-llc-734118	2017-12-31	280386	13400
parus-finance-uk-ltd-938048	2017-12-31	279125	-3115
quantitative-investment-management-llc-788568	2017-12-31	278200	278200
light-street-capital-management-llc-899724	2017-12-31	275000	-45000
tekne-capital-management-llc-927738	2017-12-31	273977	-20600
gulf-international-bank-uk-ltd-926573	2017-12-31	273400	2000
columbus-circle-investors-406237	2017-12-31	273076	23793
compagnie-lombard-odier-scma-942247	2017-12-31	267787	4745
dai-ichi-life-insurance-company-ltd-1015602	2017-12-31	267626	-3839
pnc-financial-services-group-inc-4948	2017-12-31	263129	7115
ajo-lp-63414	2017-12-31	262139	84389
