owner_code	date	held_shares	change
janney-montgomery-scott-llc-677688	2017-12-31	946233	24888
cambridge-investment-research-advisors-inc-770672	2017-12-31	942286	13995
london-co-of-virginia-621098	2017-12-31	934046	11183
haverford-trust-co-64139	2017-12-31	928160	-13636
ig-investment-management-ltd-60964	2017-09-30	927505	93250
primecap-management-coca-40504	2017-12-31	921500	3000
south-dakota-investment-council-949344	2017-12-31	895503	-242360
atalanta-sosnoff-capital-llc-63731	2018-03-31	877034	-34223
advisor-group-inc-1001372	2017-12-31	873348	64353
zurich-insurance-group-ltdfi-95279	2017-12-31	866712	117283
tocqueville-asset-management-lp-61536	2017-12-31	862399	-38574
assenagon-asset-management-sa-1016473	2017-12-31	861334	428285
old-mutual-global-investors-uk-ltd-62976	2017-12-31	853223	124449
neuburgh-advisers-llc-1015579	2017-12-31	852236	-33286
macquarie-group-ltd-762271	2017-12-31	850836	-233172
montag--caldwell-llc-65747	2017-12-31	824786	173959
columbus-circle-investors-406237	2017-12-31	823030	-124408
scotia-capital-inc-682750	2017-12-31	820176	9147
banque-pictet--cie-sa-927104	2017-12-31	819118	-64387
first-quadrant-l-pca-62775	2017-12-31	817578	-173629
exxonmobil-investment-management-inc-tx-61580	2017-12-31	816379	-126866
mn-services-vermogensbeheer-bv-993239	2017-12-31	805600	-54700
boston-private-wealth-llc-957196	2017-12-31	795005	-10129
smith-asset-management-group-lp-65955	2017-12-31	794543	-32162
johnson-investment-counsel-inc-62117	2017-12-31	789825	-14562
virtus-fund-advisers-llc-665986	2017-12-31	788028	-117811
norinchukin-bank-the-833945	2017-12-31	766763	78101
ruffer-llp-770417	2017-12-31	766719	-13076
adamcapital-gestao-de-recursos-ltda-1046513	2017-12-31	754544	754544
mutual-of-america-capital-management-llc-62362	2017-12-31	737706	26572
achmea-investment-management-bv-1023171	2017-12-31	737449	253147
ajo-lp-63414	2017-12-31	725028	118475
candriam-luxembourg-sca-961355	2017-12-31	721170	44372
holland-capital-management-llc-62870	2017-06-30	718509	-58722
envestnet-asset-management-inc-751652	2017-12-31	718315	-22391
kovitz-investment-group-partners-llc-994722	2017-12-31	715725	-32076
