owner_code	date	held_shares	change
pacific-global-investment-management-co-315975	2017-12-31	80948	871
ar-asset-management-inc-64009	2017-12-31	80935	-300
atlanta-capital-management-co-l-l-c-64045	2017-12-31	80920	-118696
ballentine-partners-llc-721719	2017-12-31	80842	9813
old-mutual-customised-solutions-proprietary-ltd-804386	2017-12-31	80766	-1000
community-bank--trust-waco-texas-983589	2017-12-31	80660	-2756
evergreen-capital-management-llc-605290	2017-12-31	80623	-27420
perigon-wealth-management-llc-927788	2017-12-31	80535	-17365
homrich--berg-840391	2017-12-31	80476	2840
bridgewater-wealth--financial-management-llc-971602	2017-12-31	80337	-1257
gratus-capital-llc-974958	2017-12-31	80037	5431
sns-financial-group-llc-907024	2017-12-31	80020	-12646
ionic-capital-management-llc-736748	2017-12-31	80000	48000
westchester-capital-management-inc-735249	2017-12-31	79855	43
cohen--steers-inc-629153	2017-12-31	79618	-211
tower-research-capital-llc-trc-900020	2017-12-31	79345	52285
cwa-asset-management-group-llc-987193	2017-12-31	79147	1250
vestor-capital-llc-83470	2017-12-31	78873	693
buckingham-capital-management-inc-66087	2017-12-31	78805	-1615
buckley-wealth-management-llc-1044784	2017-12-31	78793	78793
first-merchants-corp-8456	2017-12-31	78564	-3980
manitou-investment-management-ltd-978848	2017-12-31	78279	410
cape-cod-five-cents-savings-bank-47241	2017-12-31	78240	-1113
crawford-lake-capital-management-llc-1015535	2017-12-31	78173	-26043
newfocus-financial-group-llc-927258	2017-12-31	77979	-2903
southeast-asset-advisors-inc-735055	2017-12-31	77731	213
highbridge-capital-management-llc-63746	2017-12-31	77700	-102508
btc-capital-management-inc-950715	2017-12-31	77698	-2931
haverford-financial-services-inc-699311	2017-12-31	77494	1969
belpointe-asset-management-llc-1037717	2017-12-31	77492	7274
coldstream-capital-management-inc-62999	2017-12-31	77305	-690
sand-hill-global-advisors-llc-62989	2017-12-31	77206	-2804
endurance-wealth-management-inc-815195	2017-12-31	77153	-1693
cohen-klingenstein-llc-797141	2017-12-31	77105	0
cincinnati-specialty-underwriters-insurance-co-770292	2017-12-31	77000	0
sprott-inc-848276	2017-12-31	76975	-5055
schaper-benz--wise-investment-counsel-incwi-66959	2017-12-31	76786	303
glenview-state-bank-trust-dept-926545	2017-12-31	76726	-60
buckingham-asset-management-llc-874773	2017-12-31	76637	27677
ironvine-capital-partners-llc-1045708	2017-12-31	76590	76590
sonora-investment-management-llc-773328	2017-12-31	76526	2766
sowell-financial-services-llc-1016520	2017-12-31	76510	1695
quinn-opportunity-partners-llc-958042	2017-12-31	76500	-21000
quadrant-private-wealth-management-llc-1044393	2017-12-31	76404	76404
thompson-rubinstein-investment-management-inc-or-62921	2018-03-31	76315	0
security-national-bank-1037326	2017-12-31	76276	-382
bell-asset-management-ltd-1045637	2017-12-31	76176	76176
lourd-capital-llc-900025	2018-03-31	75944	3178
shufro-rose--co-llc-49594	2017-12-31	75746	-351
narwhal-capital-management-804633	2017-12-31	75720	10175
fiduciary-group-llc-971776	2017-12-31	75615	260
kidder-stephen-w-664159	2017-12-31	75591	-85
fdx-advisors-inc-898289	2017-12-31	75427	-3172
cwm-llc-920369	2017-12-31	75219	5858
telemark-asset-management-llc-768215	2017-12-31	75000	0
argent-trust-co-772143	2017-12-31	74552	-360
motco-661486	2017-12-31	74437	-3139
private-capital-advisors-inc-734498	2017-12-31	74383	-11057
maple-capital-management-inc-733687	2017-12-31	74262	-67
monetary-management-group-inc-83154	2017-12-31	74201	-1015
oakworth-capital-inc-925506	2017-12-31	74092	-11773
baker-chad-r-986544	2017-12-31	74035	950
blume-capital-management-inc-916016	2017-12-31	73855	-1160
gibraltar-capital-management-inc-956237	2017-12-31	73459	1431
gerber-kawasaki-wealth--investment-management-986818	2017-12-31	73317	2711
mps-loria-financial-planners-llc-1032894	2017-12-31	73316	-1537
kings-point-capital-management-734996	2017-12-31	73313	497
moreno-evelyn-v-926788	2017-12-31	73194	-12045
rockefeller-financial-services-inc-66951	2017-12-31	73008	33880
beech-hill-advisors-inc-707664	2017-12-31	72997	-819
salient-private-client-llc-1044611	2017-12-31	72920	72920
san-francisco-sentry-investment-group-ca-873267	2017-12-31	72791	-918
novare-capital-management-llc-733617	2017-12-31	72484	-1201
northstar-asset-management-llc-82758	2017-12-31	72450	1180
resource-management-llc-1047530	2017-12-31	72043	72043
rand-wealth-llc-873265	2017-12-31	72034	-1260
drw-securities-llc-821322	2017-12-31	71976	71976
1st-source-bank-62718	2017-12-31	71712	-563
matarin-capital-management-llc-910847	2017-12-31	71682	43
autus-asset-management-llc-849012	2017-12-31	71453	-1110
portland-hill-asset-management-ltd-1023103	2017-12-31	71360	-27209
hourglass-capital-llc-785613	2017-12-31	71310	-185
d-l-carlson-investment-group-inc-63173	2017-12-31	71275	-810
exencial-wealth-advisors-llc-906579	2017-12-31	70741	1569
stokes--hubbell-capital-management-llc-978124	2017-12-31	70698	5197
fagan-associates-inc-934857	2017-12-31	70636	1180
l--s-advisors-inc-737357	2017-12-31	69948	-9232
carnick--kubik-group-llc-1003326	2017-12-31	69909	40350
icon-advisers-incco-68015	2017-12-31	69900	-10210
pensionfund-dsm-netherlands-643623	2018-03-31	69900	-36600
cabot-wealth-management-inc-62714	2017-12-31	69559	-974
klingman--associates-llc-986327	2017-12-31	69458	64981
ropes-wealth-advisors-llc-965171	2017-12-31	69218	-1316
hartland--co-llc-199284	2017-12-31	69198	-7754
princeton-portfolio-strategies-group-llc-899822	2017-12-31	69141	-2291
essex-investment-management-co-llc-34633	2017-12-31	69001	-29450
fulton-breakefield-broenniman-llc-78428	2017-12-31	68987	108
ae-wealth-management-llc-1015513	2017-12-31	68949	7827
diamant-asset-management-inc-1045424	2017-12-31	68810	68810
oak-grove-capital-llc-1045323	2017-12-31	68729	68729
douglas-lane--associates-llc-992891	2017-12-31	68658	1862
sullivan-bruyette-speros--blaney-llc-927568	2017-12-31	68458	-625
wealthtrust-fairport-llc-771718	2017-12-31	68438	-208
west-coast-financial-llc-847273	2017-12-31	68366	-18116
adams-asset-advisors-llc-731891	2017-12-31	68310	0
iht-wealth-management-llc-1015566	2017-12-31	68262	27919
arthur-m-cohen--associates-llc-1013292	2017-12-31	68201	-12352
bristlecone-advisors-llc-993871	2017-12-31	68131	-1223
cypress-capital-group-699615	2017-12-31	67847	-4069
marshall-wace-llp-665654	2017-12-31	67565	23526
northern-oak-wealth-management-inc-86496	2017-12-31	67317	2993
beese-fulmer-investment-management-inc-82529	2017-12-31	67149	-41
clean-yield-group-860703	2017-12-31	67089	-2752
private-trust-co-na-620357	2018-03-31	67087	1507
brookfield-asset-management-inc-5345	2017-12-31	67060	0
brightworth-986958	2017-12-31	67043	407
sfmg-llc-847722	2017-12-31	66993	-13
grisanti-capital-management-llc-72681	2017-12-31	66923	-32611
lido-advisors-llc-972501	2017-12-31	66780	984
optimum-investment-advisors-85946	2017-12-31	66557	-226
benjamin-f-edwards--company-inc-823236	2017-12-31	66442	99
south-texas-money-management-ltd-622214	2018-03-31	66231	-10977
financial-enhancement-group-llc-973585	2017-12-31	66163	1514
legacy-capital-partners-inc-797580	2017-12-31	65861	-239
gradient-investments-llc-874503	2018-03-31	65801	50883
blackhill-capital-inc-62235	2017-12-31	65772	0
wright-investors-service-inc-62763	2017-12-31	65734	4882
next-financial-group-inc-942323	2017-12-31	65654	-25031
valicenti-advisory-services-inc-72217	2017-12-31	65590	-1339
academy-capital-management-inctx-44688	2017-12-31	65570	-684
brighton-jones-llc-857578	2017-12-31	65563	1501
blbb-advisors-llc-734265	2018-03-31	65306	3551
zweig-dimenna-associates-llc-881683	2017-12-31	65292	-42653
crossvault-capital-management-llc-927146	2017-12-31	65279	-399
rock-point-advisors-llc-663988	2017-12-31	65098	-3834
greenwich-wealth-management-llc-783429	2017-12-31	65036	-27
royce--associates-lp-77808	2017-12-31	65000	-3000
m-holdings-securities-inc-899880	2017-12-31	64940	-752
dixon-hubard-feinour--brown-incva-62213	2017-12-31	64844	-1028
eqis-capital-management-inc-897520	2018-03-31	64775	14939
princeton-capital-management-llc-97621	2017-12-31	64688	28621
signet-financial-management-llc-958196	2017-12-31	64657	-1979
kemper-corp-master-retirement-trust-708018	2017-12-31	64400	0
claret-asset-management-corp-1049285	2017-12-31	64394	64394
first-financial-bank---trust-division-680122	2018-03-31	64297	564
gwm-advisors-llc-957889	2017-12-31	64236	12717
keystone-financial-group-1045062	2017-12-31	64219	64219
tompkins-financial-corp-2060	2017-12-31	64193	-792
wp-advisors-llc-1015284	2017-12-31	64103	-937
clark-estates-incny-62779	2017-12-31	64075	0
oxbow-advisors-llc-900382	2017-12-31	64049	-699
checchi-capital-advisers-llc-925665	2017-12-31	64006	14201
flippin-bruce--porter-inc-71573	2017-12-31	63933	-33649
summit-global-investments-1015724	2017-12-31	63837	-1031
hilltop-holdings-inc-600798	2017-12-31	63832	25878
sterneck-capital-management-llc-797735	2017-12-31	63714	-2846
ct-mason-784382	2017-12-31	63469	-3087
cypress-capital-management-llc-86448	2017-12-31	63363	535
institute-for-wealth-management-llc-874713	2017-12-31	63263	5140
strategic-advisors-llc-899754	2017-12-31	63208	1226
abacus-planning-group-inc-1047534	2017-12-31	62929	62929
gam-holding-ag-789519	2017-12-31	62834	17740
pittenger--anderson-inc-63112	2017-12-31	62670	993
lau-associates-llc-395658	2018-03-31	62487	-2978
roundview-capital-llc-815703	2017-12-31	62436	326
cpwm-llc-1015473	2017-12-31	62358	1116
rbo--co-llc-96710	2017-12-31	62229	-91
kj-harrison--partners-inc-762406	2017-12-31	61972	-1060
regent-investment-management-llc-891127	2017-12-31	61952	15
eagle-ridge-investment-management-797353	2017-12-31	61734	-1585
gamco-investors-inc-et-al-17146	2017-12-31	61664	-4916
nwam-llc-977253	2017-12-31	61355	-4754
intellectus-partners-llc-1015612	2017-12-31	61350	-257
woodstock-corp-63662	2017-12-31	61147	355
cim-llc-718313	2018-03-31	60972	-469
buckingham-capital-management-inc-898864	2017-12-31	60946	310
eagleclaw-capital-managment-llc-934472	2017-12-31	60855	-787
rockshelter-capital-management-llc-934912	2017-12-31	60670	-2277
chemung-canal-trust-co-27283	2017-12-31	60458	1707
strategic-financial-services-inc-796444	2017-12-31	60044	-16
baker-avenue-asset-management-lp-821610	2017-12-31	59992	-1282
bruderman-asset-management-llc-965070	2017-12-31	59979	-4140
sii-investments-incwi-698059	2017-12-31	59810	-37363
balasa-dinverno--foltz-llc-663343	2017-12-31	59776	-8989
barr-e-s--co-62445	2017-12-31	59339	67
saybrook-capital-nc-62160	2017-12-31	59307	1810
villere-st-denis-j--co---------------------------------adv-39922	2017-12-31	59221	-1317
cibc-bank-usa-622873	2018-03-31	59195	-1372
oakwood-capital-management-llcca-61935	2017-12-31	59162	70
stonebridge-capital-management-inc-61360	2017-12-31	58971	-1411
osher-van-de-voorde-investment-management-899289	2017-12-31	58617	0
united-bank-inc-61063	2017-09-30	58349	359
whalerock-point-partners-llc-734974	2018-03-31	58348	-472
renaissance-investment-group-llc-845144	2017-12-31	58320	-286
peak-asset-management-llc-957898	2017-12-31	58134	-3935
flagship-harbor-advisors-llc-1023291	2017-12-31	58125	9566
johanson-financial-advisors-inc-986081	2017-12-31	58123	331
taylor-cottrill-erickson--associates-inc-993841	2017-12-31	57834	-847
sentinel-trust-co-lba-76481	2017-12-31	57625	-10544
oliver-luxxe-assets-llc-986987	2017-12-31	57491	-2039
gfs-advisors-llc-777192	2017-12-31	57315	-1440
sevenbridge-financial-group-llc-997677	2017-12-31	57052	-358
financial-architects-inc-770380	2017-12-31	56978	-4750
iab-financial-bank-846583	2017-06-30	56955	8
bancorpsouth-bank-646154	2017-12-31	56877	88
trust-co-of-toledo-na-oh-63140	2018-03-31	56837	-1498
ddd-partners-llc-1045048	2017-12-31	56827	56827
apriem-advisors-770374	2017-12-31	56815	-1309
perella-weinberg-partners-capital-management-lp-770811	2017-12-31	56775	56775
jp-marvel-investment-advisors-llc-770493	2017-12-31	56611	-394
turim-21-investimentos-ltda-1037089	2017-12-31	56515	6679
bourne-lent-asset-management-inc-81580	2017-12-31	56457	698
jones-collombin-investment-counsel-inc-828720	2018-03-31	56381	521
schmidt-p-j-investment-management-inc-61597	2017-12-31	56306	430
livingston-group-asset-management-co-operating-as-southport-724672	2017-12-31	56115	6570
bragg-capital-trust-106681	2017-12-31	56101	727
supplemental-annuity-collective-trust-of-nj-820828	2017-12-31	56000	8000
lombard-odier-asset-management-europe-ltd-942281	2017-12-31	55955	-779
sterling-investment-advisors-ltd-1023077	2017-12-31	55886	-969
robshaw--julian-associates-inc-62109	2017-06-30	55863	-1165
security-national-trust-co-424179	2017-12-31	55804	-1310
miracle-mile-advisors-llc-927301	2017-12-31	55725	11327
first-american-trust-fsb-63142	2018-03-31	55650	2226
rnc-capital-management-llc-62457	2018-03-31	55444	-39825
sustainable-insight-capital-management-llc-964820	2017-12-31	55300	300
marietta-investment-partners-llc-76193	2017-12-31	55129	-522
greenwood-capital-associates-llc-92257	2017-12-31	55101	-1372
hendley--co-inc-63051	2017-12-31	55057	306
cetera-investment-advisers-987074	2017-12-31	55025	1758
capstone-financial-advisors-inc-926927	2017-12-31	54949	-925
jackson-wealth-management-llc-956969	2017-12-31	54931	2121
signaturefd-llc-798017	2017-12-31	54931	3809
verity--verity-llc-874623	2017-12-31	54837	-1031
arcadia-investment-management-corpmi-62697	2017-12-31	54646	-770
heritage-trust-co-1022496	2017-12-31	54554	-2186
iberiabank-corp-10650	2017-12-31	54475	6913
hugh-johnson-advisors-llc-682728	2017-12-31	54343	-241
mrj-capital-inc-393915	2017-12-31	54305	-1000
overbrook-management-corp-605858	2017-12-31	54160	1
pioneer-trust-bank-n-aor-62750	2017-12-31	53964	-1025
centurylink-investment-management-co-10449	2018-03-31	53962	0
royal-bank-of-scotland-group-plc-78422	2017-12-31	53863	-13753
goodman-financial-corp-898432	2017-12-31	53785	-2946
manchester-capital-management-llc-906711	2017-12-31	53758	-461
windsor-financial-group-llc-82304	2017-06-30	53723	-235
union-bankshares-corp-5093	2018-03-31	53697	-87
brickley-wealth-management-1043252	2017-12-31	53639	53639
swarthmore-group-inc-78568	2017-12-31	53575	-4850
fulcrum-capital-llc-1043948	2017-12-31	53562	53562
avalon-global-asset-management-llc-663641	2017-12-31	53200	0
chelsea-counsel-co-624172	2017-12-31	53179	-4602
first-national-bank--trust-co-of-newtown-698884	2017-12-31	53023	-1130
symphony-asset-management-llc-64399	2017-12-31	52937	1389
mcdaniel-terry--co-73013	2017-12-31	52853	-168
nicollet-investment-management-inc-1044628	2017-12-31	52840	52840
stanley-capital-management-llc-957366	2017-12-31	52806	0
linscomb--williams-inc-664465	2017-12-31	52794	-1140
scott--selber-inc-663167	2017-12-31	52761	380
harbor-island-capital-llc-1045132	2017-12-31	52599	52599
nadler-financial-group-inc-873859	2018-03-31	52591	-5303
american-assets-investment-management-llc-734183	2017-12-31	52500	0
beacon-financial-group-920069	2018-03-31	52472	20254
valley-national-advisers-inc-178199	2017-12-31	52272	-1320
sfe-investment-counsel-667857	2017-12-31	52257	-4614
winch-advisory-services-llc-934806	2017-12-31	52158	-1027
gardner-lewis-asset-management-l-p-63223	2017-12-31	52157	677
national-mutual-insurance-federation-of-agricultural-coopera-877597	2017-12-31	52100	0
usca-ria-llc-874701	2017-12-31	52086	5728
taylor-wealth-management-partners-979028	2018-03-31	51886	-2338
pegasus-partners-ltd-972859	2017-12-31	51881	1475
avestar-capital-llc-1021142	2017-12-31	51872	51872
caprock-group-inc-956974	2017-12-31	51726	2156
wfg-advisors-lp-866839	2017-06-30	51659	16765
reliance-trust-co-of-delaware-913619	2017-12-31	51593	0
puzo-michael-j-50134	2017-12-31	51556	6528
northern-capital-management-llc-61282	2017-12-31	51514	-693
northstar-capital-management-llc-1045419	2017-12-31	51504	51504
ramsay-stattman-vela--price-inc-873774	2017-12-31	51439	-574
canandaigua-national-bank--trust-co-63457	2017-12-31	51431	-673
pensionfund-sabic-962817	2018-03-31	51400	-300
pitcairn-co-62067	2017-12-31	51393	2475
texas-yale-capital-corp-681670	2017-12-31	51291	90
first-heartland-consultants-inc-772713	2017-12-31	51273	-15937
chicago-trust-co-na-963091	2017-12-31	51145	-514
capital-international-sarl-63054	2017-12-31	51125	1435
westbourne-investment-advisors-inc-972899	2017-12-31	50944	-1407
coastline-trust-co-672330	2017-12-31	50779	8790
ipswich-investment-management-co-inc-804575	2017-12-31	50696	-1649
princeton-capital-management-inc-63913	2017-09-30	50654	10442
dorchester-wealth-management-co-972657	2017-12-31	50643	-935
mcmillion-capital-management-inc-62370	2017-12-31	50610	-935
cumberland-partners-ltd-910461	2017-12-31	50557	-36262
broderick-brian-c-664160	2017-12-31	50511	-6146
farmers-trust-co-665989	2017-12-31	50402	-1363
rb-capital-management-llc-1015830	2017-12-31	50367	-297
telos-capital-management-inc-899566	2017-12-31	50346	1521
nwi-management-lp-73012	2017-12-31	50000	0
progressive-investment-management-corp-699390	2017-12-31	49927	649
mathes-company-inc-734945	2017-12-31	49913	-465
bank-of-nova-scotia-trust-co-682741	2017-12-31	49824	-408
boulegeris-investments-inc-948002	2017-12-31	49811	-526
signalpoint-asset-management-llc-896799	2017-12-31	49773	-214
pecaut--co-924789	2017-12-31	49737	-1408
hamel-associates-inc-927804	2017-12-31	49726	-826
timber-hill-llc-640179	2017-12-31	49695	49695
front-row-advisors-llc-1044209	2017-12-31	49572	49572
carderock-capital-management-inc-100957	2017-12-31	49506	-986
waters-parkerson--co-llc-404215	2017-12-31	49409	111
ghp-investment-advisors-inc-753466	2017-12-31	49300	6915
condor-capital-management-62569	2017-12-31	49269	59
channing-capital-management-llc-663865	2017-12-31	49198	-7443
rothschild-capital-partners-llc-900064	2017-12-31	49029	-629
maytech-global-investments-llc-1045325	2017-12-31	48984	48984
convergence-investment-partners-llc-797932	2017-12-31	48902	623
martin--co-inc-tn-62978	2017-12-31	48894	30
hoertkorn-richard-charles-926979	2017-12-31	48775	3144
warren-averett-asset-management-llc-899626	2017-12-31	48733	19751
duncker-streett--co-inc-66348	2017-12-31	48658	5082
cambria-investment-management-lp-863524	2017-12-31	48611	3477
horizon-investment-services-llc-770623	2017-12-31	48573	-1994
forbes-j-m--co-llp-75533	2017-12-31	48533	-28664
selway-asset-management-64325	2017-12-31	48482	-3600
daniel-devine--co-954973	2017-12-31	48398	-165
knightsbridge-asset-management-llc-684425	2017-12-31	48363	-367
bingham-osborn--scarborough-llc-620257	2017-12-31	48205	-2694
american-money-management-llc-927471	2017-12-31	48198	-284
torch-wealth-management-llc-927375	2017-12-31	47929	1038
venturi-wealth-management-llc-986800	2017-12-31	47920	1554
stillwater-investment-management-llc-924548	2018-03-31	47889	-53962
colony-group-llc-64431	2017-12-31	47871	3547
mechanics-bank-trust-department-783252	2017-12-31	47704	198
bkd-wealth-advisors-llc-709648	2017-12-31	47527	-1843
united-asset-strategies-inc-899090	2017-12-31	47520	2092
buckhead-capital-management-llc-84047	2017-12-31	47336	-6967
country-club-trust-company-na-696001	2018-03-31	47282	548
hollow-brook-wealth-management-llc-797709	2017-12-31	47260	-4687
montrusco-bolton-investments-inc-815856	2018-03-31	47178	19038
duff--phelps-investment-management-co-62558	2017-12-31	47160	-1650
laurel-grove-capital-llc-733980	2018-03-31	47015	-1220
monetta-financial-services-inc-62664	2017-12-31	47000	0
pictet-bank--trust-ltd-927280	2017-12-31	46990	-7280
hudson-valley-investment-advisors-inc-adv-202670	2017-12-31	46902	-261
biechele-royce-advisors-1044928	2017-12-31	46876	46876
strategic-global-advisors-llc-957120	2017-12-31	46816	-1600
spinnaker-trust-148959	2017-12-31	46784	238
bank-pictet--cie-asia-ltd-927112	2017-12-31	46678	-224
wespac-advisors-socal-llc-988490	2017-12-31	46604	-1440
harrington-investments-inc-732359	2017-12-31	46584	2753
airain-ltd-899639	2017-06-30	46432	46432
sawyer--company-inc-1042287	2017-12-31	46318	46318
highstreet-asset-management-inc-826300	2017-12-31	46263	7078
central-bank--trust-co-375333	2017-12-31	46119	-2495
hayek-kallen-investment-management-774420	2017-12-31	46116	-746
seatown-holdings-pte-ltd-847729	2017-12-31	46116	0
fairfield-bush--co-77901	2017-12-31	46085	-335
morris-capital-advisors-llc-994000	2017-12-31	46050	-1141
blue-pool-management-ltd-1045619	2017-12-31	46000	46000
savant-capital-llc-828511	2017-12-31	45902	2533
bamco-inc-ny-32577	2017-12-31	45877	0
rench-wealth-management-inc-926717	2017-12-31	45709	-661
fort-point-capital-partners-llc-927717	2017-12-31	45448	-8404
hunter-associates-investment-management-llc-725810	2017-12-31	45382	161
prospera-financial-services-inc-874726	2017-12-31	45315	-5549
v-wealth-managementllc-992526	2018-03-31	45242	-7176
sitrin-capital-management-llc-985007	2017-12-31	45114	-1158
motley-fool-asset-management-llc-847773	2017-12-31	45000	0
trb-advisors-lp-848475	2017-12-31	45000	-45000
koshinski-asset-management-inc-957679	2018-03-31	44957	-2031
mitchell-mcleod-pugh--williams-inc-956300	2017-12-31	44890	-1105
trust-co-964783	2018-03-31	44814	-2456
rpg-investment-advisory-llc-987251	2017-12-31	44750	3055
honkamp-krueger-financial-services-inc-180063	2017-12-31	44745	-21874
exchange-capital-management-inc-664624	2017-12-31	44699	-8703
penobscot-investment-management-company-inc-743128	2017-12-31	44672	333
true-private-wealth-advisors-989510	2017-12-31	44669	18906
physicians-financial-services-inc-986402	2017-12-31	44439	119
insight-capital-research--management-inc-62550	2017-09-30	44355	6019
amussen-hunsaker-associates-llc-178307	2017-12-31	44318	15292
smithfield-trust-co-287783	2017-12-31	44314	8412
two-sigma-investments-lp-396921	2017-12-31	44285	44285
waratah-capital-advisors-ltd-901912	2017-12-31	44169	-39777
weil-company-inc-665003	2017-12-31	43947	-19578
intrust-bank-na-44502	2017-12-31	43878	1886
lvw-advisors-llc-958079	2017-12-31	43878	-973
abbrea-capital-llc-1015083	2017-12-31	43776	-392
budros-ruhlin--roe-inc-808795	2017-12-31	43667	1479
broadleaf-partners-llc-1042486	2017-12-31	43664	43664
greenwood-gearhart-inc-63241	2017-12-31	43583	1496
farr-miller--washington-llcdc-63409	2017-12-31	43571	618
winfield-associates-inc-929921	2017-12-31	43569	-122
institutional--family-asset-management-llc-994302	2017-12-31	43514	3577
rehmann-capital-advisory-group-959766	2017-12-31	43457	-3434
schnieders-capital-management-llc-930977	2017-12-31	43447	444
seabridge-investment-advisors-llc-769232	2017-12-31	43303	-63
mengis-capital-management-inc-957265	2017-12-31	43299	694
chesapeake-asset-management-llc-63357	2017-12-31	43218	-2265
altavista-wealth-management-inc-829166	2017-12-31	43191	45
wallington-asset-management-llc-770867	2017-12-31	43191	350
fort-lp-957924	2017-12-31	43105	-48020
curbstone-financial-management-corp-934848	2018-03-31	43050	20182
kessler-investment-group-llc-873742	2017-12-31	42946	-14855
riverbridge-partners-llc-75511	2018-03-31	42854	-200
sheets-smith-wealth-management-91573	2018-03-31	42830	7874
provise-management-group-llc-664003	2017-12-31	42801	-770
yorkbridge-wealth-partners-llc-1022297	2017-12-31	42590	32
intersect-capital-llc-958121	2017-12-31	42319	2867
gruss--co-inc-73309	2017-12-31	42250	0
kemnay-advisory-services-inc-899825	2017-12-31	42101	395
c-partners-holding-gmbh-958242	2017-12-31	42087	42087
advisornet-financial-inc-753838	2017-12-31	42084	42084
walter--keenan-financial-consulting-co-mi-adv-189569	2017-12-31	42040	795
bowie-capital-management-llc-1015371	2017-12-31	42000	1000
domani-wealth-llc-964370	2017-12-31	41987	-627
slow-capital-inc-1045850	2017-12-31	41872	41872
arrowstreet-capital-limited-partnership-96675	2017-12-31	41826	-1766600
caxton-associates-lp-63120	2017-12-31	41826	-42074
cornell-pochily-investment-advisors-inc-1050137	2017-12-31	41807	41807
american-trust-investment-advisors-llc-677316	2017-12-31	41728	-605
university-of-notre-dame-du-lac-676251	2017-12-31	41722	41722
cornerstone-financial-partners-llc-986711	2017-12-31	41673	4851
tiedemann-wealth-management-llc-821070	2017-12-31	41632	-35536
sigma-investment-counselors-inc-62582	2017-12-31	41623	-4697
all-terrain-financial-advisors-llc-1045847	2017-12-31	41552	41552
edmp-inc-293225	2018-03-31	41478	-194
sandell-asset-management-corp-86446	2017-12-31	41447	41447
zevin-asset-management-llc-753832	2017-12-31	41402	3186
rowland--co-investment-counseladv-198142	2017-12-31	41369	-174
first-commonwealth-financial-corp-pa-942	2017-12-31	41327	21500
keeler-thomas-management-llc-1044753	2017-12-31	41323	41323
solaris-asset-management-llc-711029	2017-12-31	41289	-1940
american-national-bank-622553	2018-03-31	41246	-3496
iowa-state-bank-880367	2017-12-31	41219	-1778
beck-mack--oliver-llc-47106	2017-12-31	41188	-27151
copeland-capital-management-llc-873871	2017-12-31	41166	-1132
gyroscope-capital-management-group-llc-957952	2017-12-31	41166	19626
ferris-capital-llc-1030587	2017-12-31	41125	18243
cadinha--co-llc-62739	2017-12-31	41072	-3626
cheviot-value-management-llc-770855	2017-12-31	41022	71
guild-investment-management-inc-664583	2017-12-31	40893	-1259
hills-bank--trust-co-663642	2017-12-31	40806	-1054
columbus-macro-llc-1044396	2017-12-31	40706	40706
westside-investment-management-inc-1022904	2017-12-31	40557	550
global-x-management-co-llc-775769	2017-12-31	40549	4648
argent-trust-co-957833	2017-12-31	40307	-183
mccollum-christoferson-group-llc-1042947	2017-12-31	40132	40132
krilogy-financial-llc-980400	2017-12-31	40102	-1144
hanson-mcclain-inc-888599	2017-12-31	40069	1521
city-financial-investment-co-ltd-1015588	2017-12-31	40037	40037
mutual-advisors-llc-1045287	2017-12-31	39957	39957
shepherd-financial-partners-llc-1015707	2017-12-31	39748	-1926
kiley-juergens-wealth-management-llc-1045250	2017-12-31	39721	39721
usa-financial-portformulas-corp-957543	2018-03-31	39713	1846
mercer-capital-advisers-inc-956116	2017-12-31	39652	-250
cardinal-capital-management-778302	2017-12-31	39629	-935
segment-wealth-management-llc-905695	2017-12-31	39591	663
river-wealth-advisors-llc-965670	2017-12-31	39590	1299
delta-capital-management-llc-62836	2017-12-31	39478	-554
port-capital-llc-1043599	2017-12-31	39386	39386
asset-management-advisors-llc-924651	2017-12-31	39372	1804
bremer-trust-national-association-63354	2018-03-31	39157	-2639
alley-co-llc-899698	2017-12-31	39085	-270
transamerica-financial-advisors-inc-841165	2017-12-31	39002	-1227
winslow-evans--crocker-inc-925053	2017-12-31	38976	-1280
nelson-van-denburg--campbell-wealth-management-group-llc-927512	2017-12-31	38924	5798
cambridge-financial-group-inc-682427	2017-12-31	38797	-165
cohen-lawrence-b-732877	2017-12-31	38761	-857
jaffetilchin-investment-partners-llc-752454	2017-12-31	38722	-6307
ironwood-investment-counsel-llc-682892	2017-12-31	38634	329
connable-office-inc-62196	2017-12-31	38619	-37
naples-global-advisors-llc-924756	2017-12-31	38606	1948
american-research--management-co-847596	2017-12-31	38482	271
colrain-capital-llc-395186	2017-12-31	38350	-24913
vicus-capital-902692	2017-12-31	38344	452
bridges-investment-counsel-inc-62799	2017-12-31	38307	-2370
wasatch-advisors-inc-87012	2017-12-31	38207	-20657
benedict-financial-advisors-inc-273254	2017-12-31	38192	-454
matrix-asset-advisors-incny-37145	2017-12-31	38149	-746
old-second-national-bank-of-aurora-58256	2017-12-31	38123	-471
california-capital-advisors-inc-1015582	2017-12-31	38111	4031
cider-mill-investments-lp-1015500	2017-12-31	38100	0
mcqueen-ball--associates-inc-983579	2018-03-31	38049	86
bank-of-the-ozarks-899769	2017-12-31	37956	-586
maverick-capital-ltd-75571	2017-12-31	37860	24420
howland-capital-management-llc-61766	2017-12-31	37830	-818
city-holding-co-5269	2017-12-31	37810	76
folger-nolan-fleming-douglas-capital-management-inc-62159	2017-12-31	37796	490
keel-point-llc-733674	2017-12-31	37765	-1854
terril-brothers-inc-186936	2017-12-31	37627	0
